,en,de
4952,A man is waiting to go in the booth.,"Ein Mann wartet darauf, in die Kabine zu gehen."
4953,A jockey on a horse is attempting to jump logs in a field.,"Ein Jockey auf einem Pferd versucht, über Holzteile auf einem Platz."
4954,Little boy in a red jacket sliding in the snow.,"Ein kleiner Junge mit roter Jacke, der im Schnee rutscht."
4955,A closeup of a man in glasses looking at the camera.,"Nahaufnahme eines Mannes mit Brille, der in die Kamera blickt."
4956,A girl beside a blue tarp wall wearing a backpack and a purse.,Ein Mädchen neben einer blauen Zeltplane mit Rucksack und Geldbeutel.
4957,A man with red glasses and a white beard is posed with a cane and trees in the background.,Ein Mann mit roter Brille und weißem Bart lässt sich mit einem Gehstock und Bäumen im Hintergrund fotografieren.
4958,Children playing a game in a field.,Kinder spielen ein Spiel auf einem Platz.
4959,A shirtless got in blue pants is being chased by a girl in a black shirt.,Ein Junge mit nacktem Oberkörper und blauen Hosen wird von einem Mädchen mit schwarzem Oberteil verfolgt.
4960,A orchestra performing a piece.,Ein Orchester spielt ein Stück.
4961,A woman is looking on the food she kept in the glass box.,"Eine Frau blickt auf das Essen, das sie in einem Glasbehälter aufbewahrt hat."
4962,A woman hugs a man outside while he is yawning.,"Eine Frau umarmt im Freien einen Mann, der gähnt."
4963,A lady with a gray jacket and jeans sitting close to a man wearing a long coat.,Eine Dame mit grauer Jacke und Jeans sitzt nahe bei einem Mann mit einem langen Mantel.
4964,"A male and female, both wearing sandals, walking by a fence.","Eine männliche und eine weibliche Person in Sandalen, die an einem Zaun entlang gehen."
4965,"A guy is fishing off the dock, it looks like he has something big on the end of his line.","Ein Mann angelt von der Anlegestelle aus, es sieht aus, als ob er etwas Großes an der Angel hat."
4966,A man wearing a black suit is talking and gesturing with his hands.,Ein Mann mit schwarzem Anzug redet und gestikuliert mit den Händen.
4967,A man wearing blue and a woman wearing pink pose in front of the lake.,Ein blau gekleideter Mann und eine rosa gekleidete Frau lassen sich vor einem See fotografieren.
4968,A black dog swimming through a river.,"Ein schwarzer Hund, der durch einen Fluss schwimmt."
4969,A shirtless man with a blue towel on his head is shaving his beard.,Ein Mann mit nacktem Oberkörper und einem blauen Handtuch auf dem Kopf rasiert seinen Bart ab.
4970,An older man is trying to figure out what a sewing machine is.,"Ein älterer Mann versucht herauszufinden, was eine Nähmaschine ist."
4971,"Four people in hats stand to watch an event, two of them with cameras.","Vier Personen in Hüten stehen da, um ein Ereignis zu beobachten, zwei davon mit Kameras."
4972,Five people are sitting outside playing cards with each other.,Fünf Personen sitzen im Freien und spielen miteinander Karten.
4973,A small girl with dark hair standing on a lawn collecting dandelions.,Ein kleines Mädchen mit dunklen Haaren steht auf einem Rasen und sammelt Pusteblumen.
4974,Three men in yellow shirts work outside a restaurant.,Drei Männer mit gelben Hemden arbeiten in einem Freiluftrestaurant.
4975,College men and woman sitting at a meeting in a room with a teacher while one of the men is standing and explaining something.,"Studenten und Studentinnen sitzen bei einem Treffen in einem Raum mit einer Lehrkraft, einer der Männer steht und erklärt etwas."
4976,There are three dogs racing around a muddy track.,Drei Hunde rennen auf einer schlammigen Bahn.
4977,A man bent over sweeping in basement that is made for very short people.,"Ein vornübergebeugter Mann fegt in einem Keller, der für sehr kleine Menschen gebaut ist."
4978,A man is lowered on a pulley in front of a building.,Ein Mann wird an einem Flaschenzug vor einem Gebäude heruntergelassen.
4979,People sit in a restaurant with tall ceilings and large windows drinking various wines and socializing.,"Leute sitzen in einem Restaurant mit hohen Decken und großen Fenstern, trinken verschiedene Weine und reden miteinander."
4980,A local man sitting on a stool gives directions to a tourist.,Ein Einheimischer auf einem Hocker beschreibt einem Touristen den Weg.
4981,A woman in a jacket is standing next to a fence playing horse shoes.,Eine Frau im Jackett steht neben einem Zaun und spielt Hufeisenwerfen.
4982,A woman in blue with a cane sitting on a barrel.,"Eine blau gekleidete Frau mit einem Stock, die auf einem Fass sitzt."
4983,A woman in a red shirt and a white apron works with clay while a young girl watches.,"Eine Frau mit rotem Oberteil und weißer Schürze arbeitet mit Ton, während ein Mädchen zusieht."
4984,A group of hikers hiking along dirt trail.,"Eine Gruppe von Wanderern, die auf einem unbefestigten Weg wandern."
4985,A group of friends that were playing a stacking game before it came falling down.,"Freunde haben ein Kartenhaus gebaut, bevor es zusammengefallen ist."
4986,This woman in shorts is holding a microphone.,Diese Frau in kurzen Hosen hält ein Mikrofon.
4987,A woman in black jacket is sitting on a maroon wooden sidewalk bench.,Eine Frau mit schwarzer Jacke sitzt auf einer rotbraunen hölzernen Straßenbank.
4988,A person laying on the ground next to a cow.,"Eine Person, die neben einer Kuh auf dem Boden liegt."
4989,A person sits on the gravel holding a sleeping dog.,Eine Person sitzt auf dem Kies und hält einen schlafenden Hund.
4990,"A happy newlywed woman, surrounded by friends and family, has a bouquet of flowers.","Eine glückliche frisch verheiratete Frau, umgeben von Freunden und Familie, trägt ein Blumenbukett."
4991,A child wearing purple runs through splashing water while a man in red looks on.,"Ein lila gekleidetes Kind rennt durch spritzendes Wasser, ein rot gekleideter Mann sieht zu."
4992,Two men in a room with many beds.,Zwei Männer in einem Raum mit vielen Betten.
4993,"Two men smiling at the camera inside a restaurant, one is holding up a beer.","Zwei Männer, die in einem Restaurant in die Kamera lächeln, einer hält ein Bier hoch."
4994,Three blond women are looking in microscopes.,Drei blonde Frauen blicken in Mikroskope.
4995,A redheaded woman is sitting in front of a chain link fence and has two men on either side of her.,Eine rothaarige Frau sitzt vor einem Maschendrahtzaun und ist von zwei Männern flankiert.
4996,A young couple enjoys a snowball fight.,Ein junges Paar macht eine Schneeballschlacht.
4997,A child is posing with a funny by for the camera by the water.,Ein Kind lässt sich mit einem lustigen Jungen am Wasser fotografieren.
4998,A man in a gray shirt and khaki pants sits on a camping chair.,Ein Mann mit grauem Hemd und khakifarbenen Hosen sitzt auf einem Campingstuhl.
4999,A young woman walking along in the shadows in front of a fenced area.,"Eine junge Frau, die vor einem eingezäunten Bereich im Schatten entlang geht."
5000,A man pushing a cart on a dirt road.,Ein Mann schiebt einen Wagen über eine unbefestigte Straße.
5001,Two women in lab coats looking on a image projected on the wall,Zwei Frauen in Laborkitteln betrachten ein an die Wand projiziertes Bild.
5002,A Blond woman in a pink turtleneck jumps with yellow bungee cords.,Eine blonde Frau in einem rosafarbenen Rollkragenpullover springt mit gelben Bungeeseilen.
5003,A woman in a mustard dress with a white purse is walking down the street in front of a brick building.,Eine Frau in einem senffarbenen Kleid mit einer weißen Handtasche geht vor einem Backsteinbau die Straße entlang.
5004,Construction on the inside of a house.,Bauarbeiten im Inneren eines Hauses.
5005,"An older woman and a young boy, who is eating something, sit facing away from each other.","Eine ältere Frau und ein kleiner Junge, der etwas isst, sitzen voneinander abgewandt."
5006,The two seated girls smile towards the camera.,Die beiden sitzenden Mädchen lächeln in die Kamera.
5007,"There are two kids, a soccer ball, a dog and a goat outside in a field.","Zwei Kinder, ein Fußball, ein Hund und eine Ziege draußen auf einem Feld."
5008,A dog with a muzzle and blue jacket runs around the yard.,Ein Hund mit Maulkorb in einer blauen Hundejacke rennt im Hof herum.
5009,A man hugging a young boy in a blue shirt.,Ein Mann umarmt einen Jungen in einem blauen Hemd.
5010,A boy gives being in the snow two thumbs up.,Junge im Schnee zeigt beide Daumen hoch.
5011,A furocious female tennis player about to hit a tennis ball in the air.,"Grimmige Tennisspielerin kurz davor, einen Tennisball in der Luft zu schlagen."
5012,Two people walking down some stairs.,Zwei Menschen gehen eine Treppe hinunter.
5013,The child in the green shirt is on a machine with wheels.,Das Kind im grünen Hemd sitzt auf einer Maschine mit Rädern.
5014,A man in a hat enjoys a beer.,Ein Mann mit Hut genießt ein Bier.
5015,The woman is training a white dog to zigzag through metal poles.,"Die Frau bringt einem weißen Hund bei, im Zickzack durch Metallpfosten zu laufen."
5016,A barefooted girl is swinging high on a swing on a spring afternoon.,Ein Mädchen schaukelt barfuß an einem Frühlingsnachmittag hoch auf einer Schaukel.
5017,A policeman walks away from a gate with a large brown and black dog.,Ein Polizist entfernt sich von einem Tor mit einem großen schwarz-braunen Hund.
5018,A blond dog runs in the grass holding a stick in its mouth.,"Blonder Hund, der einen Stock im Maul hat, rennt durchs Gras."
5019,A man stands in front of a statue.,Ein Mann steht vor einer Statue.
5020,A man in a public road workers uniform sprays water.,Ein Mann in der Uniform eines öffentlichen Straßenangestellten spritzt Wasser.
5021,Reflections in water of people on bridge and child walking to the water's edge,"Spiegelbilder im Wasser von Menschen auf einer Brücke und einem Kind, das ans Ufer läuft."
5022,The woman is skating in the park.,Die Frau fährt im Park Skateboard.
5023,Two women are looking at images on a computer screen.,Zwei Frauen betrachten Bilder auf einem Computerbildschirm.
5024,A red-haired girl holds a cute baby goat.,Ein rothaariges Mädchen hält ein niedliches Ziegenbaby.
5025,A child playing on a red scooter.,Ein Kind spielt auf einem roten Roller.
5026,"Two children, a boy and a girl, running across the dirt.","Zwei Kinder, ein Junge und ein Mädchen, laufen über unbefestigten Boden."
5027,A person swimming in a pool wearing a red bathing suit and blue goggles.,Ein Mensch in roter Badebekleidung mit einer blauen Schwimmbrille schwimmt in einem Becken.
5028,A child in a dragon costume on a bike.,Kind in Drachenkostüm auf einem Fahrrad.
5029,A man dressed in a brown coat and bomber hat is carrying shopping bags and walking towards an intersection.,Ein mit braunem Mantel und Fliegerkappe gekleideter Mann trägt Einkaufstüten und geht auf eine Kreuzung zu.
5030,Two teenage girls are wearing fancy dresses at an event.,Zwei Teenagerinnen tragen Kostüme bei einer Veranstaltung.
5031,A kid sliding down a slide while another kid looks on,"Kind rutscht eine Rutsche runter, während anderes Kind zuschaut."
5032,A man in suit is walking down a crowded street.,Mann im Anzug läuft eine belebte Straße entlang.
5033,A man is walking in front of an older home without any paint on it,Ein Mann geht an einem alten Wohnhaus ohne Farbe vorbei.
5034,People heading home from work at the train station.,Menschen am Bahnhof auf dem Heimweg von der Arbeit.
5035,Two people sitting on a bench in a city street with a heart shaped balloon in hand.,Zwei Menschen auf einer Bank in einer städtischen Straße mit einem herzförmigen Ballon in der Hand.
5036,A man in black coat and gray pants are walking along a quiet street.,Ein Mann in schwarzem Mantel und grauer Hose läuft eine ruhige Straße entlang.
5037,Two dogs playfully wrestle in a rocky setting.,Zwei Hunde kämpfen spielerisch in einer felsigen Umgebung.
5038,A little girl in a sundress plays in the sand.,Ein kleines Mädchen in einem Strandkleid spielt im Sand.
5039,A black dog and a brown dog in snow.,Ein schwarzer Hund und ein brauner Hund im Schnee.
5040,A man with a motorcycle helmet rests by the waterfront.,Ein Mann mit einem Motorradhelm rastet am Ufer.
5041,Six women that are showing their nationality by holding a flag.,"Sechs Frauen zeigen ihre Nationalität über eine Flagge, die sie halten."
5042,Several people wearing white mask are holding a banner and signs.,Mehrere Menschen mit weißen Masken halten ein Banner und Schilder.
5043,Several military men surrounding women who are sitting on the ground with flags.,"Mehrere männliche Soldaten kreisen Frauen mit Fahnen ein, die auf dem Boden sitzen."
5044,Two black and white dogs fighting in the snow,Zwei schwarz-weiße Hunde kämpfen im Schnee.
5045,A little boy plays with a basketball and a toy basketball hoop.,Ein kleiner Junge spielt mit einem Basketball und einem Spielzeug-Basketballkorb.
5046,Kids are playing in water fountains,Kinder spielen in Wasserbrunnen.
5047,A man wearing a brown jacket and gray hat stands with his eyes closed in a crowd of people outdoors.,Ein mit einer braunen Jacke und einem grauen Hut bekleideter Mann steht mit geschlossenen Augen in einer Menschenmenge im Freien.
5048,A young boy is sitting on a fence with a platter of food on his head.,Ein kleiner Junge sitzt auf einem Zaun mit einer Platte mit Essen auf seinem Kopf.
5049,Two women wearing glasses one is laughing and one is smiling.,"Zwei Frauen, die Brille tragen, eine lacht und eine lächelt."
5050,A man sitting on the edge of a tree lined walk.,Ein Mann sitzt am Rand eines baumbestandenen Weges.
5051,Two women are looking out into a beautiful forest from a ledge.,Zwei Frauen blicken von einer Stufe in einen prachtvollen Wald.
5052,A girl is standing in a store next to other stores.,Ein Mädchen steht in einem Geschäft neben weiteren Geschäften.
5053,A cowboy hanging on for dear life while the horse below him simply tries to buck him off.,"Ein Cowboy klammert sich fest, während das Pferd unter ihm versucht ihn abzuwerfen."
5054,The young boy by the pool is eating an apple.,Der kleine Junge am Schwimmbecken isst einen Apfel.
5055,A hiker with a backpack is walking near a waterfall.,Ein Wanderer mit Rucksack geht in der Nähe eines Wasserfalls.
5056,Three people are setting up chairs on the beach.,Drei Menschen stellen Stühle am Strand auf.
5057,A man in a navy polo shirt snaps photos at a golf course while a crowd of spectators looks on in the background.,"Ein Mann in einem dunkelblauen Poloshirt knipst Fotos auf einem Golfplatz, während eine Zuschauermenge im Hintergrund zuschaut."
5058,A shoeshine man works as others pass by on a busy sidewalk.,"Ein Schuhputzer arbeitet, während andere auf einem belebten Gehweg vorübergehen."
5059,"A person is riding a horse western style, and the horse is bucking.",Ein Mensch reitet im Westernstil und das Pferd buckelt.
5060,High school students watching something and taking pictures.,Schüler einer High-School schauen etwas an und machen Fotos.
5061,A boy and a man cross a river on an elephant.,Ein Junge und ein Mann überqueren einen Fluss auf einem Elefanten.
5062,A female wearing black pants and a green shirt jogging.,Weibliche Person mit schwarzer Hose und grünem Hemd beim Joggen.
5063,A motorcyclist with a Puma fanny-pak parked on the sidewalk with the kickstand of his bike up.,Motorradfahrer mit Puma-Gürteltasche parkt mit ausgeklapptem Mittelständer auf dem Gehweg.
5064,A black and white dog with its tongue out is walking.,Ein schwarz-weißer Hund mit heraushängender Zunge läuft.
5065,A man seated in a chair has his hair rinsed and washed by other men.,"Ein Mann, der in einem Stuhl sitzt, lässt sich von anderen Männern die Haare waschen und spülen."
5066,Kids playing jump rope in the middle of the street.,Kinder spielen auf offener Straße Seilspringen.
5067,A young Caucasian boy climbs through a metal structure of stationary rings outside in a paved area overlooking a body of water.,Kleiner hellhäutiger Junge klettert draußen auf einer befestigten Fläche mit Blick auf ein Gewässer durch ein Metallgerüst aus Ringen.
5068,Three women in headscarfs look at something out of frame.,"Drei Frauen mit Kopftuch schauen etwas an, das sich außerhalb des Bildes befindet."
5069,"Dancers practice dance positions with each other, with some using a safety rail for assistance.","Tänzer üben gemeinsam Tanzpositionen, einige nutzen dabei zur Erleichterung ein Sicherheitsgeländer."
5070,The boy is climbing up a rope ladder.,Der Junge kletter eine Strickleiter hinauf.
5071,The girl with the black T-shirt is out with a large brown dog.,Das Mädchen im schwarzen T-Shirt ist mit einem großen braunen Hund draußen.
5072,Men practice martial arts in backyard.,Männer trainieren in einem Hinterhof Kampfsport.
5073,Two cows stand nearby while a dog races past both of them.,"Zwei Kühe stehen nah beieinander, ein Hund rennt an beiden vorbei."
5074,Two workers are installing a billboard advertisement for a sporting goods store.,Zwei Arbeiter bringen eine Plakatwerbung für ein Sportgeschäft an.
5075,"A blond man, who is wearing a black t-shirt is playing a game of scrabble and is surrounded by vegetables.","Ein blonder Mann in einem schwarzen T-Shirt, von Gemüse umgeben ist, spielt Scrabble."
5076,"A baby camel going towards a woman, while a man takes a picture.","Ein Kamelbaby läuft auf eine Frau zu, während ein Mann ein Foto macht."
5077,A woman sitting in a brown coat holds a book and bows her head.,Sitzende Frau in braunem Mantel hält ein Buch und neigt den Kopf.
5078,A man is walking across the street while it is snowing.,"Ein Mann geht über die Straße, während es schneit."
5079,Brown dog with mouth open and ears in air running.,Brauner Hund rennt mit offenem Maul und Ohren im Wind.
5080,The speckled dog runs through the marsh.,Der gesprenkelte Hund rennt durch den Sumpf.
5081,A police officer is standing by the corner of a building.,Ein Polizist steht an einer Häuserecke.
5082,A dog chasing a toy duck.,Ein Hund jagt eine Spielzeugente.
5083,Two children anxiously looking while a woman scoops them orange water ice.,"Zwei Kinder schauen ängstlich, während eine Frau ihnen Orangen-Fruchteis auftut."
5084,A woman in a blue hiking shirt looking at a black ram.,Eine Frau in einem blauen Wanderhemd schaut einen schwarzen Schafbock an.
5085,A person in a red shirt is mowing the grass with a green riding mower.,Ein Mensch in einem roten Hemd mäht den Rasen mit einem grünen Aufsitzmäher.
5086,A baby plays near an overturned basket of diapers.,Ein Baby spielt in der Nähe von einem umgekippten Windeleimer.
5087,A man wearing a helmet has his hand up in the air and is shouting in a similar way the crowd behind his doing.,Ein Mann mit einem Helm auf dem Kopf hält die Hand in die Luft und ruft etwas auf ähnliche Weise wie die Menschenmenge hinter ihm.
5088,A yellow dog running down a sandy path.,Ein gelber Hund läuft einen sandigen Weg hinunter.
5089,A brown and white dog running through water towards a toy.,Ein braun-weißer Hund läuft durch Wasser zu einem Spielzeug.
5090,"Street artist is holding a crystal ball, while an amazed viewer looks on.","Straßenkünstler hält eine Kristallkugel, staunender Zuschauer sieht zu."
5091,"Two young children, one in striped top, running down pathway surrounded by ferns.","Zwei kleine Kinder, eins davon in gestreiftem Oberteil, laufen einen von Farn gesäumten Weg hinunter."
5092,Dog running on narrow dirt path.,Hund rennt über engen unbefestigten Weg.
5093,Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom.,Zwei kleine Jungen in blauem Fußballdress waschen sich die Hände in einem Badezimmer in Erwachsenengröße die Hände und verwenden dafür eine Holztreppe.
5094,Teenage boy riding a bicycle through a grassy field.,Junge im Teenageralter fährt mit dem Fahrrad über ein grasbewachsenes Feld.
5095,A woman carrying a white bag with a red star walking on the sidewalk.,Eine Frau trägt eine weiße Tasche mit rotem Stern und läuft auf dem Gehweg.
5096,Man shoveling sidewalk as snow is still falling.,"Mann schippt Schnee auf dem Gehweg, während es schneit."
5097,"A blond-haired girl is wearing a purple top, yellow pants, different colored socks, and shoes.","Blondes Mädchen trägt ein violettes Oberteil, eine gelbe Hose sowie verschiedenfarbige Socken und Schuhe."
5098,People stand on a subway platform waiting for their train.,Menschen stehen auf einem U-Bahnsteig und warten auf ihre U-Bahn.
5099,Two little boys are driving past adults in their toy jeep.,Zwei kleine Jungen fahren in Spielzeug-Jeep an Erwachsenen vorbei.
5100,A man on stage as people watch him and wave arms.,"Mann steht auf einer Bühne, während ihn Menschen anschauen und die Arme schwenken."
5101,A black and brown dog is running through the woods.,Ein schwarz-brauner Hund rennt durch den Wald.
5102,A red car has rolled over on a dirt track.,Ein rotes Auto hat sich auf einem unbefestigten Weg überschlagen.
5103,A bearded man in a white shirt and black shorts is hiking on a woodland path.,Bärtiger Mann in weißem Hemd und schwarzen Shorts wandert auf einem Waldweg.
5104,Three girls stand under umbrellas before a stage.,Drei Mädchen stehen unter Regenschirmen vor einer Bühne.
5105,The brown and white great Dane plays with two yellow dogs in the grass.,Die braun-weiße Dänische Dogge spielt mit zwei gelben Hunden auf dem Rasen.
5106,The two dogs are jumping around.,Die beiden Hunde springen herum.
5107,"Brown dog, with green and purple cape, runs on grass.",Brauner Hund mit grün-violettem Hundecape läuft über den Rasen.
5108,Three young people sit outside and engage with electronic devices.,Drei Jugendliche sitzen draußen und beschäftigen sich mit elektronischen Geräten.
5109,A young boy in an orange shirt is smiling as he runs in a city scene.,Ein kleiner Junge in orangefarbenem T-Shirt läuft lächelnd durch eine Stadtszenerie.
5110,A man leans beside a cow in a grassy field.,Ein Mann lehnt neben einer Kuh auf einem grasbewachsenen Feld.
5111,A dog swimming in the water with a stick in its mouth,"Ein Hund, der einen Stock im Maul hat, schwimmt im Wasser."
5112,A man in business attire stands a street corner.,Ein Mann in Geschäftskleidung steht an einer Straßenecke.
5113,A brown dog is jumping over a grassy mound near to a lake.,Ein brauner Hund springt über einen grasbewachsenen Hügel in der Nähe eines Sees.
5114,Two men look down at another man standing on an unfinished walkway.,"Zwei Männer schauen auf einen anderen Mann herunter, der auf einem unfertigen Gehweg steht."
5115,Some enthusiast climb a tower for a better look.,"Fans klettern einen Mast hoch, um einen beesseren Blick zu erhalten."
5116,The family is walking in the woods.,Die Familie geht im Wald spazieren.
5117,A child in a red jacket is pointing at beautiful orange flowers.,Ein Kind in einer roten Jacke zeigt auf schöne orangefarbene Blumen.
5118,A woman and a baby eating (having a picnic).,Eine Frau und ein Kleinkind essen (picknicken).
5119,A busy street with two men holding blue bags.,"Eine belebte Straße und zwei Männer, die blaue Taschen halten."
5120,A Oklahoma football player standing,"Oklahoma-Footballs-Spieler, stehend"
5121,"A football player wears a jersey wuth the number ""4"" on it.","Ein Football-Spieler trägt ein Trikot mit der Zahl ""4""."
5122,A football coach holds a headset.,Ein Football-Coach hält ein Headset.
5123,A man runs on the football field carrying the ball in front of the ref.,Ein Mann rennt mit dem Ball in der Hand vor dem Schiri über das Footballfeld.
5124,A football coach watches a play being made.,Ein Football-Coach schaut bei einem Spiel zu.
5125,The Oklahoma Sooners football team discuss their game while fans cheer.,"Die Oklahoma-Sooners-Football-Mannschaft bespricht das Spiel, während ihre Fans jubeln."
5126,Two football players try to tackle a player of the opposite team.,"Zwei Football-Spieler versuchen, einen Spieler der gegnerischen Mannschaft zu attackieren."
5127,A smiling dancer dressed in red is on the football field with fans in the stadium bleachers behind her.,"Eine rot gekleidete, lächelnde Tänzerin ist auf dem Footballfeld, hinter ihr Fans auf der Tribüne des Stadions."
5128,A quarterback gets ready to throw the football.,"Ein Quarterback bereitet sich darauf vor, den Football zu werfen."
5129,A football player from OU talks to the coach about the game.,Ein Football-Spieler von OU spricht mit dem Coach über das Spiel.
5130,Two cheerleaders are sitting at a football game.,Zwei Cheerleader sitzen bei einem Football-Spiel.
5131,A football player in a red jersey getting his knee looked at by another man,Ein Football-Spieler in einem roten Trikot lässt sein Knie von einem anderen Mann untersuchen
5132,A man in a Sooners jersey blocks an attempted UW tackle.,Ein Mann in einem Sooners-Trikot blockt einen Angriffsversuch von UW.
5133,Two football players attempt to advance the ball against a would be tackler.,"Zwei Football-Spieler versuchen, den Ball gegen einen möglichen Angreifer nach vorn zu bringen."
5134,The football player is trying to outrun his opponent.,"Der Football-Spieler versucht, seinen Gegenspieler zu überholen."
5135,The football player is running with the ball as a player of the opposing team grabs his leg,"Der Football-Spieler rennt mit dem Ball in der Hand, ein Spieler der gegnerischen Mannschaft greift nach seinem Bein."
5136,A horse mascot gives high-fives to some football fans.,"Ein Pferde-Maskottchen gibt einigen Football-Fans ""High five""."
5137,Football players on the field as a Sooner tries to tackle a player,"Football-Spieler auf dem Feld, ein Sooner versucht einen Spieler zu attackieren."
5138,A crowd is standing and cheering at a football game.,Eine Menschenmenge steht und jubelt bei einem Football-Spiel.
5139,A man punting a football as fans from the opposing team watch in the background,"Ein Mann kickt einen Football, während im Hintergrund Fans der gegnerischen Mannschaft zuschauen."
5140,The man in the gray shirt has a blue baseball cap on.,Der Mann im grauen Hemd hat eine blaue Baseballkappe auf.
5141,"On a football field, there is a player in a red jersey and the crowd is behind him.",Auf einem Footballfeld ist ein Spieler in einem roten Trikot und ist hinter ihm das Publikum.
5142,An Oklahoma player is tackled playing football,Ein Oklahoma-Spieler wird beim Football-Spielen attackiert.
5143,"The football players in red are attempting a play against those in purple, white, and gold.",Die Football-Spieler in Rot versuchen einen Spielzug gegen die Spieler in Violett-Weiß-Gold.
5144,A group of men play a college football game.,Eine Gruppe Männer spielt ein College-Football-Spiel.
5145,A football player wearing a gold helmet runs holding a football.,"Ein Football-Spieler, der einen goldenen Helm trägt, rennt und hält dabei einen Football."
5146,Two football teams lined up before the hike.,Zwei Football-Mannschaften in Aufstellung vor dem Snap.
5147,"Two football players make a play, while the other team looks on.","Zwei Football-Spieler machen einen Spielzug, während die andere Mannschaft zuschaut."
5148,"A football player runs with a ball, chased by the opposing team.",Ein Football-Spieler rennt mit einem Ball und wird von der gegnerischen Mannschaft verfolgt.
5149,"The two players, on opposite teams, are in the middle of a football game, while others watch.","Die beiden Spieler aus unterschiedlichen Mannschaften sind mitten in einem Football-Spiel, während andere zuschauen."
5150,A football player is tackled.,Ein Football-Spieler wird getackelt.
5151,Two football players are tackling one player of the opposite team.,Zwei Football-Spieler attackieren einen Spieler der gegnerischen Mannschaft.
5152,A Sooners football player is tackling an opposing player.,Ein Sooners-Football-Spieler tackelt einen gegnerischen Spieler.
5153,A football player in red and white is holding both hands up.,Ein Football-Spieler in Rot-Weiß hält beide Hände in die Höhe.
5154,Three football players wearing red jerseys are on the field.,Dre Football-Spieler in roten Trikots sind auf dem Spielfeld.
5155,The Sooners quarterback is waiting for the snap from his center.,Der Sooners-Quarterback wartet auf den Snap von seinem Center.
5156,A football game in progress.,Ein laufendes Football-Spiel.
5157,A football player being tackled from behind by another player from a different team in front of a crowd.,Ein Football-Spieler wird von einem anderen Spieler aus einer anderen Mannschaft vor einer Menschenmenge von hinten getackelt.
5158,Football player tackling another player in a football game.,Football-Spieler tackelt einen anderen Spieler bei einem Football-Spiel.
5159,A football player for the Sooners stands in front of the oppsing team waiting for the next play.,Ein Football-Spieler der Sooners steht vor der gegnerischen Mannschaft und wartet auf den nächsten Spielzug.
5160,The football player dressed in red looks down field.,Der rot gekleidete Football-Spieler schaut über das Spielfeld.
5161,The football player in red kicks off the ball.,Der Football-Spieler in Rot kickt den Ball beim Anstoß.
5162,The football player gets ready to throw the ball.,"Der Football-Spieler bereitet sich darauf vor, den Ball zu werfen."
5163,A group of footballs players is standing behind a coaching official.,Eine Gruppe Football-Spieler steht hinter einem Trainer.
5164,The head coach is walking out on the field.,Der Head Coach geht auf das Spielfeld.
5165,A football team doing their stretches before the game starts.,Eine Football-Mannschaft beim Stretching vor dem Beginn des Spiels.
5166,Many football players sitting on the ground.,Viele Football-Spieler sitzen auf dem Boden.
5167,A man dressed in red takes a picture of a sporting event.,Ein rot gekleideter Mann macht ein Foto von einem Sportereignis.
5168,A Oklahoma Sooners football player wearing his jersey number 28.,Ein Oklahoma-Sooners-Football-Spieler trägt sein Trikot mit der Nummer 28.
5169,A man wearing a red football uniform and gray gloves looks to the left.,Ein Mann in einem roten Football-Dress und grauen Handschuhen blickt nach links.
5170,A young girl wearing a party hat is laughing.,Ein Mädchen mit einem Party-Hut auf dem Kopf lacht.
5171,A woman in a black outfit is standing in a hardwood floored room looking out a window.,Eine Frau in schwarzem Outfit steht in einem Raum mit Parkettboden und blickt aus dem Fenster.
5172,Group of people gathering around a parade float.,Eine Gruppe von Menschen ist um einen Umzugswagen versammelt.
5173,A person jumping in the air while holding onto a string attached to a large balloon as others watch.,"Ein Mensch springt in die Luft und klammert sich dabei an einer an einem großen Ballon befestigten Schnur fest, während andere zuschauen."
5174,A newly bathed dog is wrapped in a blanket by a caring woman.,Ein frisch gebadeter Hund wird von einer fürsorglichen Frau in ein Handtuch gewickelt.
5175,A man and a woman wearing jackets embrace in a hug.,Ein Mann und eine Frau in Mänteln umarmen sich.
5176,A man is wearing blue waving at a stopped bus.,Ein blau gekleideter Mann winkt einem haltenden Bus zu.
5177,Young girl in winter coat jumping off a boulder into the sand at a beach,Junges Mädchen in Wintermantel springt an einem Strand von einem Fels in den Sand.
5178,Several people wait for a train.,Mehrere Menschen warten auf einen Zug.
5179,A small white dogs leaps over the back of a larger dog to chase his toy.,Ein kleiner weißer Hund springt auf der Jagd nach seinem Spielzeug über den Rücken eines größeren Hundes.
5180,A dog wearing a blue sweater holds a yellow toy in its mouth.,Ein Hund in einem blauen Pullover hält ein gelbes Spielzeug im Maul.
5181,Three infants wearing sunhats are playing at the edge of the water on a beach.,Drei Kleinkinder mit Sonnenhüter spielen am Strand am Ufer.
5182,A girl dances like a man in costume,Ein Mädchen tanzt wie ein Mann im Anzug.
5183,Large furry dog walking in the sand near large rocks.,Großer Hund mit langem Fell läuft in der Nähe großer Felsen durch den Sand.
5184,People walking along a pathway along a lake.,Menschen spazieren auf einem Weg an einem See entlang.
5185,A girl with a pink striped shirt is walking up a set of stone stairs.,Ein Mädchen mit einem rosafarbenen gestreiften Hemd geht eine Steintreppe hinauf.
5186,"A brown-haired lady in a red shirt and black pants standing, looking around.",Eine braunhaarige Dame mit rotem und schwarzer Hose steht und blickt sich um.
